;ep;fr;flow
357;3.0;358.0;-14.367900848388672
358;3.0;359.0;-14.220312118530273
359;3.0;360.0;-16.71581268310547
360;3.0;361.0;-16.416746139526367
361;3.0;362.0;-15.814743995666504
362;3.0;363.0;-16.607683181762695
363;3.0;364.0;-15.777599334716797
364;3.0;365.0;-16.564655303955078
365;3.0;366.0;-16.939666748046875
366;3.0;367.0;-15.567574501037598
367;3.0;368.0;-17.79429054260254
368;3.0;369.0;-18.771116256713867
369;3.0;370.0;-17.884450912475586
370;3.0;371.0;-20.52475357055664
371;3.0;372.0;-20.106689453125
372;3.0;373.0;-18.81363296508789
373;3.0;374.0;-19.978118896484375
374;3.0;375.0;-20.25728416442871
375;3.0;376.0;-20.089786529541016
376;3.0;377.0;-22.298330307006836
377;3.0;378.0;-20.515920639038086
378;3.0;379.0;-20.896535873413086
379;3.0;380.0;-22.280677795410156
380;3.0;381.0;-20.53643798828125
381;3.0;382.0;-20.711933135986328
382;3.0;383.0;-18.510278701782227
383;3.0;384.0;-18.704984664916992
384;3.0;385.0;-18.846839904785156
385;3.0;386.0;-20.07732582092285
386;3.0;387.0;-21.640960693359375
387;3.0;388.0;-21.369543075561523
388;3.0;389.0;-19.74301528930664
389;3.0;390.0;-18.917224884033203
390;3.0;391.0;-20.052967071533203
391;3.0;392.0;-18.426170349121094
392;3.0;393.0;-20.769859313964844
393;3.0;394.0;-23.357954025268555
394;3.0;395.0;-20.409273147583008
395;3.0;396.0;-22.388511657714844
396;3.0;397.0;-21.06816864013672
397;3.0;398.0;-21.451576232910156
398;3.0;399.0;-22.555313110351562
399;3.0;400.0;-21.8055362701416
400;3.0;401.0;-21.530637741088867
401;3.0;402.0;-22.45100212097168
402;3.0;403.0;-20.637922286987305
403;3.0;404.0;-20.95223045349121
404;3.0;405.0;-22.724275588989258
405;3.0;406.0;-22.2545108795166
406;3.0;407.0;-22.972089767456055
407;3.0;408.0;-22.282379150390625
408;3.0;409.0;-22.554658889770508
409;3.0;410.0;-23.07599449157715
410;3.0;411.0;-23.165727615356445
411;3.0;412.0;-23.431415557861328
412;3.0;413.0;-23.111589431762695
413;3.0;414.0;-22.35384178161621
414;3.0;415.0;-21.723430633544922
415;3.0;416.0;-22.314287185668945
416;3.0;417.0;-21.850603103637695
417;3.0;418.0;-21.699981689453125
418;3.0;419.0;-21.672609329223633
