;ep;fr;flow
0;2.0;1.0;0.0
1;2.0;2.0;-18.439775466918945
2;2.0;3.0;-15.287273406982422
3;2.0;4.0;-15.439656257629395
4;2.0;5.0;-12.094297409057617
5;2.0;6.0;-12.356003761291504
6;2.0;7.0;-17.29399299621582
7;2.0;8.0;-18.277992248535156
8;2.0;9.0;-15.648326873779297
9;2.0;10.0;-17.681398391723633
10;2.0;11.0;-18.661874771118164
11;2.0;12.0;-17.424938201904297
12;2.0;13.0;-16.693849563598633
13;2.0;14.0;-16.178447723388672
14;2.0;15.0;-18.085783004760742
15;2.0;16.0;-19.521953582763672
16;2.0;17.0;-18.08441162109375
17;2.0;18.0;-16.976152420043945
18;2.0;19.0;-19.182157516479492
19;2.0;20.0;-18.150346755981445
20;2.0;21.0;-17.77733039855957
21;2.0;22.0;-17.510101318359375
22;2.0;23.0;-16.732107162475586
23;2.0;24.0;-18.4074649810791
24;2.0;25.0;-20.417062759399414
25;2.0;26.0;-20.34563446044922
26;2.0;27.0;-19.653884887695312
27;2.0;28.0;-18.64931869506836
28;2.0;29.0;-16.891319274902344
29;2.0;30.0;-15.260113716125488
30;2.0;31.0;-17.672542572021484
31;2.0;32.0;-14.853338241577148
32;2.0;33.0;-15.918060302734375
33;2.0;34.0;-14.570992469787598
34;2.0;35.0;-17.050914764404297
35;2.0;36.0;-15.782565116882324
36;2.0;37.0;-7.559770584106445
37;2.0;38.0;-8.87902545928955
38;2.0;39.0;-9.169404029846191
39;2.0;40.0;-15.15385913848877
40;2.0;41.0;-18.363079071044922
41;2.0;42.0;-14.578161239624023
42;2.0;43.0;-16.169923782348633
43;2.0;44.0;-13.772988319396973
44;2.0;45.0;-15.349531173706055
45;2.0;46.0;-14.57573413848877
46;2.0;47.0;-13.466114044189453
47;2.0;48.0;-15.207429885864258
48;2.0;49.0;-16.0693359375
49;2.0;50.0;-15.450325965881348
50;2.0;51.0;-13.45263385772705
51;2.0;52.0;-16.145334243774414
52;2.0;53.0;-12.798324584960938
53;2.0;54.0;-13.001779556274414
54;2.0;55.0;-12.999313354492188
55;2.0;56.0;-12.617005348205566
56;2.0;57.0;-13.311136245727539
57;2.0;58.0;-15.782028198242188
58;2.0;59.0;-13.77588176727295
59;2.0;60.0;-16.18929100036621
60;2.0;61.0;-13.773909568786621
61;2.0;62.0;-13.396517753601074
62;2.0;63.0;-11.304473876953125
63;2.0;64.0;-11.311975479125977
64;2.0;65.0;-15.263802528381348
65;2.0;66.0;-9.476116180419922
66;2.0;67.0;-11.784358978271484
67;2.0;68.0;-15.170836448669434
68;2.0;69.0;-12.79130744934082
69;2.0;70.0;-15.310693740844727
70;2.0;71.0;-7.748600482940674
71;2.0;72.0;-13.678292274475098
72;2.0;73.0;-10.94882869720459
73;2.0;74.0;-8.87875747680664
74;2.0;75.0;-9.015417098999023
75;2.0;76.0;-13.900227546691895
76;2.0;77.0;-14.592487335205078
77;2.0;78.0;-8.116636276245117
78;2.0;79.0;-12.364643096923828
79;2.0;80.0;-11.10898494720459
80;2.0;81.0;-12.012982368469238
81;2.0;82.0;-13.082242012023926
82;2.0;83.0;-12.77325439453125
83;2.0;84.0;-11.112272262573242
84;2.0;85.0;-12.549180030822754
85;2.0;86.0;-10.649511337280273
86;2.0;87.0;-9.15152359008789
87;2.0;88.0;-10.869954109191895
88;2.0;89.0;-12.33049201965332
89;2.0;90.0;-12.209240913391113
90;2.0;91.0;-13.21971607208252
91;2.0;92.0;-13.727514266967773
92;2.0;93.0;-12.286712646484375
93;2.0;94.0;-8.043785095214844
94;2.0;95.0;-8.84875202178955
95;2.0;96.0;-9.096599578857422
96;2.0;97.0;-4.561294078826904
97;2.0;98.0;-11.249314308166504
98;2.0;99.0;-11.518280029296875
99;2.0;100.0;-11.880279541015625
100;2.0;101.0;-7.499096870422363
101;2.0;102.0;-5.209097385406494
102;2.0;103.0;-8.930468559265137
103;2.0;104.0;-12.66092586517334
104;2.0;105.0;-8.211067199707031
105;2.0;106.0;-8.013981819152832
106;2.0;107.0;-10.530159950256348
107;2.0;108.0;-9.386804580688477
108;2.0;109.0;-8.976113319396973
109;2.0;110.0;-6.766631126403809
110;2.0;111.0;-11.073972702026367
111;2.0;112.0;-8.540797233581543
112;2.0;113.0;-9.303427696228027
113;2.0;114.0;-10.775325775146484
114;2.0;115.0;-10.353262901306152
115;2.0;116.0;-8.844106674194336
116;2.0;117.0;-6.583518981933594
117;2.0;118.0;-9.107094764709473
118;2.0;119.0;-10.735833168029785
119;2.0;120.0;-9.970612525939941
120;2.0;121.0;-9.151700019836426
121;2.0;122.0;-7.833202362060547
122;2.0;123.0;-8.595867156982422
123;2.0;124.0;-13.603501319885254
124;2.0;125.0;-10.592881202697754
125;2.0;126.0;-7.6227288246154785
126;2.0;127.0;-6.4938063621521
127;2.0;128.0;-3.920414924621582
128;2.0;129.0;-11.613314628601074
129;2.0;130.0;-8.472687721252441
130;2.0;131.0;-10.359597206115723
131;2.0;132.0;-10.369009017944336
132;2.0;133.0;-5.419986248016357
133;2.0;134.0;-10.053874969482422
134;2.0;135.0;-12.852070808410645
135;2.0;136.0;-11.8263578414917
136;2.0;137.0;-13.575770378112793
137;2.0;138.0;-14.841054916381836
138;2.0;139.0;-14.07727336883545
139;2.0;140.0;-13.33227252960205
140;2.0;141.0;-14.899300575256348
141;2.0;142.0;-14.284379959106445
142;2.0;143.0;-16.344926834106445
143;2.0;144.0;-15.810558319091797
144;2.0;145.0;-16.30792808532715
145;2.0;146.0;-14.385905265808105
146;2.0;147.0;-13.261964797973633
147;2.0;148.0;-12.306236267089844
148;2.0;149.0;-15.841121673583984
149;2.0;150.0;-16.605552673339844
150;2.0;151.0;-16.833690643310547
151;2.0;152.0;-18.858366012573242
152;2.0;153.0;-16.987577438354492
153;2.0;154.0;-17.38275146484375
154;2.0;155.0;-18.120447158813477
155;2.0;156.0;-17.1710147857666
156;2.0;157.0;-16.11260986328125
157;2.0;158.0;-14.290946960449219
158;2.0;159.0;-15.424528121948242
159;2.0;160.0;-16.8243465423584
160;2.0;161.0;-16.56891632080078
161;2.0;162.0;-17.40639305114746
162;2.0;163.0;-17.7540283203125
163;2.0;164.0;-14.537250518798828
164;2.0;165.0;-13.182907104492188
165;2.0;166.0;-17.369112014770508
166;2.0;167.0;-15.543426513671875
167;2.0;168.0;-17.813814163208008
168;2.0;169.0;-18.126253128051758
169;2.0;170.0;-14.845901489257812
170;2.0;171.0;-18.24098777770996
171;2.0;172.0;-16.055137634277344
172;2.0;173.0;-14.812713623046875
173;2.0;174.0;-16.9573917388916
174;2.0;175.0;-16.382118225097656
175;2.0;176.0;-16.143218994140625
176;2.0;177.0;-14.237961769104004
177;2.0;178.0;-14.474623680114746
178;2.0;179.0;-13.254511833190918
179;2.0;180.0;-12.788261413574219
180;2.0;181.0;-13.671731948852539
181;2.0;182.0;-14.657631874084473
182;2.0;183.0;-14.60245132446289
183;2.0;184.0;-16.590065002441406
184;2.0;185.0;-16.31184196472168
185;2.0;186.0;-15.404605865478516
186;2.0;187.0;-16.566171646118164
187;2.0;188.0;-12.860864639282227
188;2.0;189.0;-11.703535079956055
189;2.0;190.0;-15.775097846984863
190;2.0;191.0;-12.138019561767578
191;2.0;192.0;-12.103702545166016
192;2.0;193.0;-15.628772735595703
193;2.0;194.0;-12.26600170135498
194;2.0;195.0;-15.179827690124512
195;2.0;196.0;-16.132915496826172
196;2.0;197.0;-13.724609375
197;2.0;198.0;-12.338007926940918
198;2.0;199.0;-14.488204956054688
199;2.0;200.0;-12.991562843322754
200;2.0;201.0;-14.297662734985352
201;2.0;202.0;-14.262421607971191
202;2.0;203.0;-11.582322120666504
203;2.0;204.0;-14.765844345092773
204;2.0;205.0;-13.315633773803711
205;2.0;206.0;-13.176400184631348
206;2.0;207.0;-14.749191284179688
207;2.0;208.0;-16.44588851928711
208;2.0;209.0;-14.329838752746582
209;2.0;210.0;-13.26371955871582
210;2.0;211.0;-12.773578643798828
211;2.0;212.0;-13.789695739746094
212;2.0;213.0;-12.769316673278809
213;2.0;214.0;-13.575103759765625
214;2.0;215.0;-15.924516677856445
215;2.0;216.0;-13.990257263183594
216;2.0;217.0;-15.280872344970703
217;2.0;218.0;-14.87278938293457
218;2.0;219.0;-13.915826797485352
219;2.0;220.0;-15.354596138000488
220;2.0;221.0;-13.25288200378418
221;2.0;222.0;-14.691425323486328
222;2.0;223.0;-13.791595458984375
223;2.0;224.0;-18.011613845825195
224;2.0;225.0;-15.661497116088867
225;2.0;226.0;-16.173751831054688
226;2.0;227.0;-16.00540542602539
227;2.0;228.0;-13.638282775878906
228;2.0;229.0;-14.420113563537598
229;2.0;230.0;-15.86291217803955
230;2.0;231.0;-15.925226211547852
231;2.0;232.0;-16.95743751525879
232;2.0;233.0;-16.003122329711914
233;2.0;234.0;-14.14613151550293
234;2.0;235.0;-16.25714111328125
235;2.0;236.0;-16.578540802001953
236;2.0;237.0;-13.791540145874023
237;2.0;238.0;-17.35752296447754
238;2.0;239.0;-16.29120635986328
239;2.0;240.0;-15.720024108886719
240;2.0;241.0;-15.641557693481445
241;2.0;242.0;-14.611586570739746
242;2.0;243.0;-14.122628211975098
243;2.0;244.0;-16.105859756469727
244;2.0;245.0;-13.73596477508545
245;2.0;246.0;-16.85089111328125
246;2.0;247.0;-17.5308895111084
247;2.0;248.0;-17.471107482910156
248;2.0;249.0;-15.271733283996582
249;2.0;250.0;-17.722251892089844
250;2.0;251.0;-16.373741149902344
251;2.0;252.0;-14.384088516235352
252;2.0;253.0;-17.484575271606445
253;2.0;254.0;-15.498449325561523
254;2.0;255.0;-15.682778358459473
255;2.0;256.0;-18.784563064575195
256;2.0;257.0;-15.013595581054688
257;2.0;258.0;-16.326736450195312
258;2.0;259.0;-15.418753623962402
259;2.0;260.0;-12.755524635314941
260;2.0;261.0;-17.93299102783203
261;2.0;262.0;-17.300329208374023
262;2.0;263.0;-18.57331085205078
263;2.0;264.0;-20.219097137451172
264;2.0;265.0;-18.53717041015625
265;2.0;266.0;-17.65393829345703
266;2.0;267.0;-18.183565139770508
267;2.0;268.0;-19.677499771118164
268;2.0;269.0;-16.96571159362793
269;2.0;270.0;-20.223371505737305
270;2.0;271.0;-17.929948806762695
271;2.0;272.0;-19.064058303833008
272;2.0;273.0;-18.661788940429688
273;2.0;274.0;-19.503633499145508
274;2.0;275.0;-18.6179141998291
275;2.0;276.0;-17.42973518371582
276;2.0;277.0;-18.1204776763916
277;2.0;278.0;-18.65557289123535
278;2.0;279.0;-19.791915893554688
279;2.0;280.0;-20.094026565551758
280;2.0;281.0;-20.082347869873047
281;2.0;282.0;-18.59050178527832
282;2.0;283.0;-20.027782440185547
283;2.0;284.0;-18.7012882232666
284;2.0;285.0;-18.237653732299805
285;2.0;286.0;-17.186031341552734
286;2.0;287.0;-18.35002326965332
287;2.0;288.0;-17.796844482421875
288;2.0;289.0;-19.035907745361328
289;2.0;290.0;-17.977928161621094
290;2.0;291.0;-18.21295928955078
291;2.0;292.0;-14.091994285583496
292;2.0;293.0;-14.431122779846191
293;2.0;294.0;-17.409658432006836
294;2.0;295.0;-19.681007385253906
295;2.0;296.0;-19.95586585998535
296;2.0;297.0;-19.588855743408203
297;2.0;298.0;-18.682233810424805
298;2.0;299.0;-16.850116729736328
299;2.0;300.0;-18.5127010345459
300;2.0;301.0;-17.958223342895508
301;2.0;302.0;-19.18857192993164
302;2.0;303.0;-18.80790138244629
303;2.0;304.0;-18.923316955566406
304;2.0;305.0;-19.027097702026367
305;2.0;306.0;-18.393136978149414
306;2.0;307.0;-19.26177406311035
307;2.0;308.0;-18.907258987426758
308;2.0;309.0;-18.933563232421875
309;2.0;310.0;-16.51976776123047
310;2.0;311.0;-16.955839157104492
311;2.0;312.0;-19.34654426574707
312;2.0;313.0;-18.345285415649414
313;2.0;314.0;-19.490468978881836
314;2.0;315.0;-18.851945877075195
315;2.0;316.0;-17.389944076538086
316;2.0;317.0;-18.034263610839844
317;2.0;318.0;-17.911605834960938
318;2.0;319.0;-17.55042839050293
319;2.0;320.0;-15.827394485473633
320;2.0;321.0;-16.851491928100586
321;2.0;322.0;-15.629742622375488
322;2.0;323.0;-18.22063446044922
323;2.0;324.0;-14.651325225830078
324;2.0;325.0;-11.751901626586914
325;2.0;326.0;-13.943778038024902
326;2.0;327.0;-13.99317741394043
327;2.0;328.0;-17.708789825439453
328;2.0;329.0;-17.578289031982422
329;2.0;330.0;-16.502260208129883
330;2.0;331.0;-16.902326583862305
331;2.0;332.0;-18.166872024536133
332;2.0;333.0;-16.440317153930664
333;2.0;334.0;-17.981067657470703
334;2.0;335.0;-16.14198112487793
335;2.0;336.0;-16.666900634765625
336;2.0;337.0;-17.403121948242188
337;2.0;338.0;-16.99142074584961
338;2.0;339.0;-16.37165641784668
339;2.0;340.0;-16.519107818603516
340;2.0;341.0;-16.336612701416016
341;2.0;342.0;-14.906824111938477
342;2.0;343.0;-16.69257164001465
343;2.0;344.0;-17.054752349853516
344;2.0;345.0;-15.205490112304688
345;2.0;346.0;-18.499784469604492
346;2.0;347.0;-16.61223602294922
347;2.0;348.0;-15.164594650268555
348;2.0;349.0;-16.634258270263672
349;2.0;350.0;-14.877522468566895
350;2.0;351.0;-15.283564567565918
351;2.0;352.0;-14.897324562072754
352;2.0;353.0;-16.053939819335938
353;2.0;354.0;-14.6120023727417
354;2.0;355.0;-13.832480430603027
355;2.0;356.0;-15.976875305175781
356;2.0;357.0;-12.75587272644043
357;2.0;358.0;-10.012835502624512
358;2.0;359.0;-10.368239402770996
359;2.0;360.0;-11.529886245727539
360;2.0;361.0;-14.892942428588867
361;2.0;362.0;-14.993173599243164
362;2.0;363.0;-14.905211448669434
363;2.0;364.0;-12.919594764709473
364;2.0;365.0;-13.626338005065918
365;2.0;366.0;-13.673927307128906
366;2.0;367.0;-13.244165420532227
367;2.0;368.0;-14.68305492401123
368;2.0;369.0;-13.19052791595459
369;2.0;370.0;-13.091034889221191
370;2.0;371.0;-13.673178672790527
371;2.0;372.0;-12.121474266052246
372;2.0;373.0;-11.196557998657227
373;2.0;374.0;-10.343820571899414
374;2.0;375.0;-11.626441955566406
375;2.0;376.0;-12.47447681427002
376;2.0;377.0;-13.290960311889648
377;2.0;378.0;-13.2391357421875
378;2.0;379.0;-12.29309368133545
379;2.0;380.0;-12.234488487243652
380;2.0;381.0;-12.243609428405762
381;2.0;382.0;-12.702353477478027
382;2.0;383.0;-12.969608306884766
383;2.0;384.0;-13.084315299987793
384;2.0;385.0;-13.069037437438965
385;2.0;386.0;-13.23634147644043
386;2.0;387.0;-10.092470169067383
387;2.0;388.0;-10.27933120727539
388;2.0;389.0;-6.4474639892578125
389;2.0;390.0;-7.158595561981201
390;2.0;391.0;-7.5189900398254395
391;2.0;392.0;-9.787408828735352
392;2.0;393.0;-13.1427640914917
393;2.0;394.0;-13.427839279174805
394;2.0;395.0;-12.758355140686035
395;2.0;396.0;-12.404340744018555
396;2.0;397.0;-12.293987274169922
397;2.0;398.0;-12.388785362243652
398;2.0;399.0;-13.44801139831543
399;2.0;400.0;-13.108341217041016
400;2.0;401.0;-10.451383590698242
401;2.0;402.0;-12.197423934936523
402;2.0;403.0;-11.894701957702637
403;2.0;404.0;-12.7379150390625
404;2.0;405.0;-11.954610824584961
405;2.0;406.0;-9.00140380859375
406;2.0;407.0;-12.136896133422852
407;2.0;408.0;-14.238191604614258
408;2.0;409.0;-12.278924942016602
409;2.0;410.0;-13.176034927368164
410;2.0;411.0;-12.117793083190918
411;2.0;412.0;-12.05418586730957
412;2.0;413.0;-11.652570724487305
413;2.0;414.0;-10.985027313232422
414;2.0;415.0;-10.888705253601074
415;2.0;416.0;-10.538217544555664
416;2.0;417.0;-10.259650230407715
417;2.0;418.0;-9.837095260620117
418;2.0;419.0;-8.64062213897705
419;2.0;420.0;-7.83994722366333
420;2.0;421.0;-6.982128143310547
421;2.0;422.0;-8.556854248046875
422;2.0;423.0;-8.454707145690918
423;2.0;424.0;-11.24596881866455
424;2.0;425.0;-11.754974365234375
425;2.0;426.0;-11.557333946228027
426;2.0;427.0;-12.523614883422852
427;2.0;428.0;-12.487364768981934
