;ep;fr;flow
0;1.0;1.0;-20.293964385986328
1;1.0;2.0;-18.033985137939453
2;1.0;3.0;-19.225908279418945
3;1.0;4.0;-18.514873504638672
4;1.0;5.0;-18.491605758666992
5;1.0;6.0;-18.34771728515625
6;1.0;7.0;-18.745634078979492
7;1.0;8.0;-17.948619842529297
8;1.0;9.0;-16.9202938079834
9;1.0;10.0;-18.392972946166992
10;1.0;11.0;-16.72089195251465
11;1.0;12.0;-17.874088287353516
12;1.0;13.0;-16.46221923828125
13;1.0;14.0;-16.569887161254883
14;1.0;15.0;-16.594980239868164
15;1.0;16.0;-15.447327613830566
16;1.0;17.0;-15.998571395874023
17;1.0;18.0;-15.385345458984375
18;1.0;19.0;-15.119734764099121
19;1.0;20.0;-15.65869140625
20;1.0;21.0;-14.170022964477539
21;1.0;22.0;-14.34420394897461
22;1.0;23.0;-13.947566986083984
23;1.0;24.0;-13.275959968566895
24;1.0;25.0;-13.109209060668945
25;1.0;26.0;-13.480297088623047
26;1.0;27.0;-12.838980674743652
27;1.0;28.0;-12.89307975769043
28;1.0;29.0;-13.482857704162598
29;1.0;30.0;-12.620362281799316
30;1.0;31.0;-12.952375411987305
31;1.0;32.0;-12.703862190246582
32;1.0;33.0;-12.132518768310547
33;1.0;34.0;-12.366939544677734
34;1.0;35.0;-11.783133506774902
35;1.0;36.0;-12.166412353515625
36;1.0;37.0;-12.243318557739258
37;1.0;38.0;-11.217048645019531
38;1.0;39.0;-11.026687622070312
39;1.0;40.0;-11.27082347869873
40;1.0;41.0;-10.747882843017578
41;1.0;42.0;-10.844701766967773
42;1.0;43.0;-11.103373527526855
43;1.0;44.0;-10.405560493469238
44;1.0;45.0;-10.562716484069824
45;1.0;46.0;-10.323062896728516
46;1.0;47.0;-10.285680770874023
47;1.0;48.0;-10.696364402770996
48;1.0;49.0;-9.89338493347168
49;1.0;50.0;-10.497689247131348
50;1.0;51.0;-9.962064743041992
51;1.0;52.0;-9.916709899902344
52;1.0;53.0;-11.221882820129395
53;1.0;54.0;-11.088913917541504
54;1.0;55.0;-10.967299461364746
55;1.0;56.0;-11.561739921569824
56;1.0;57.0;-11.383164405822754
57;1.0;58.0;-10.90766716003418
58;1.0;59.0;-11.610953330993652
59;1.0;60.0;-11.373746871948242
60;1.0;61.0;-12.156280517578125
61;1.0;62.0;-12.505623817443848
62;1.0;63.0;-12.612940788269043
63;1.0;64.0;-13.132577896118164
64;1.0;65.0;-12.961999893188477
65;1.0;66.0;-13.782776832580566
66;1.0;67.0;-13.136392593383789
67;1.0;68.0;-14.323248863220215
68;1.0;69.0;-13.982366561889648
69;1.0;70.0;-14.740325927734375
70;1.0;71.0;-14.400240898132324
71;1.0;72.0;-14.728177070617676
72;1.0;73.0;-15.001395225524902
73;1.0;74.0;-14.760774612426758
74;1.0;75.0;-15.958372116088867
75;1.0;76.0;-16.384483337402344
76;1.0;77.0;-16.064104080200195
77;1.0;78.0;-16.696683883666992
78;1.0;79.0;-16.615339279174805
79;1.0;80.0;-16.77866554260254
80;1.0;81.0;-17.675077438354492
81;1.0;82.0;-17.811199188232422
82;1.0;83.0;-17.412832260131836
83;1.0;84.0;-19.677291870117188
84;1.0;85.0;-17.865068435668945
85;1.0;86.0;-19.128145217895508
86;1.0;87.0;-19.702632904052734
87;1.0;88.0;-18.634523391723633
88;1.0;89.0;-19.884592056274414
89;1.0;90.0;-19.5124454498291
90;1.0;91.0;-20.360946655273438
91;1.0;92.0;-20.01462745666504
92;1.0;93.0;-19.015026092529297
93;1.0;94.0;-19.056621551513672
94;1.0;95.0;-19.32865333557129
95;1.0;96.0;-19.16681671142578
96;1.0;97.0;-19.31840705871582
97;1.0;98.0;-19.270782470703125
98;1.0;99.0;-19.62139320373535
99;1.0;100.0;-18.87520408630371
100;1.0;101.0;-17.904611587524414
101;1.0;102.0;-19.233003616333008
102;1.0;103.0;-19.32668113708496
103;1.0;104.0;-17.10312271118164
104;1.0;105.0;-19.026689529418945
105;1.0;106.0;-16.66571044921875
106;1.0;107.0;-17.351512908935547
107;1.0;108.0;-18.5765380859375
108;1.0;109.0;-16.783796310424805
109;1.0;110.0;-16.23505401611328
110;1.0;111.0;-16.302364349365234
111;1.0;112.0;-16.282501220703125
112;1.0;113.0;-16.8135929107666
113;1.0;114.0;-16.0530948638916
114;1.0;115.0;-15.695514678955078
115;1.0;116.0;-16.18263053894043
116;1.0;117.0;-16.061887741088867
117;1.0;118.0;-15.5689058303833
118;1.0;119.0;-14.632835388183594
119;1.0;120.0;-14.361443519592285
120;1.0;121.0;-15.52994155883789
121;1.0;122.0;-14.50938606262207
122;1.0;123.0;-14.334309577941895
123;1.0;124.0;-15.560150146484375
124;1.0;125.0;-13.937469482421875
125;1.0;126.0;-13.780862808227539
126;1.0;127.0;-13.178815841674805
127;1.0;128.0;-13.259313583374023
128;1.0;129.0;-13.341355323791504
129;1.0;130.0;-13.62720775604248
130;1.0;131.0;-13.36902141571045
131;1.0;132.0;-13.723881721496582
132;1.0;133.0;-12.983295440673828
133;1.0;134.0;-13.251686096191406
134;1.0;135.0;-12.615215301513672
135;1.0;136.0;-11.823416709899902
136;1.0;137.0;-12.718656539916992
137;1.0;138.0;-11.736286163330078
138;1.0;139.0;-11.721803665161133
139;1.0;140.0;-11.848509788513184
140;1.0;141.0;-11.919329643249512
141;1.0;142.0;-11.389501571655273
142;1.0;143.0;-10.983749389648438
143;1.0;144.0;-10.918997764587402
144;1.0;145.0;-11.78255844116211
145;1.0;146.0;-11.164091110229492
146;1.0;147.0;-10.980937957763672
147;1.0;148.0;-11.831418991088867
148;1.0;149.0;-11.476808547973633
149;1.0;150.0;-10.516470909118652
150;1.0;151.0;-9.80893325805664
151;1.0;152.0;-10.979360580444336
152;1.0;153.0;-10.417616844177246
153;1.0;154.0;-11.385396003723145
154;1.0;155.0;-10.464106559753418
155;1.0;156.0;-10.993977546691895
156;1.0;157.0;-10.7822265625
157;1.0;158.0;-10.452056884765625
158;1.0;159.0;-10.395377159118652
159;1.0;160.0;-10.428595542907715
160;1.0;161.0;-11.016562461853027
161;1.0;162.0;-11.182206153869629
162;1.0;163.0;-11.876179695129395
