folder;frame_nr;snout_x;snout_y;ear_x;ear_y;withers_x;withers_y;croup_x;croup_y;shoulder_x;shoulder_y;elbow_x;elbow_y;carpal_x;carpal_y;ankle_x;ankle_y;hoof_x;hoof_y
D:/Falk/19_zebra_video/frames_ep3;0;332.19388581150383;643.584605349691;394.3457681286343;500.9324716114324;702.7922932814063;463.57119848950754;907.717582780597;459.68950777554136;581.9084535698311;606.7085435670117;650.9859276717821;634.3655899040209;703.5260234403552;766.4489812280425;734.602727066768;858.8060911193941;697.4686026072864;893.7931884187885
D:/Falk/19_zebra_video/frames_ep3;1;333.1643084899954;645.0402393674283;394.3457681286343;500.9324716114324;702.3070819421605;464.0564098287533;907.717582780597;459.68950777554136;581.9084535698311;606.7085435670117;650.9859276717821;634.3655899040209;701.0185905926262;766.031075753421;734.602727066768;859.641902068637;697.0506971326649;894.6289993680316
D:/Falk/19_zebra_video/frames_ep3;2;333.1643084899954;645.0402393674283;394.3457681286343;500.9324716114324;702.3070819421605;464.0564098287533;907.717582780597;459.68950777554136;581.9084535698311;606.7085435670117;650.9859276717821;634.3655899040209;708.1229836611917;765.6131702787995;749.6473241531419;857.5523746955296;711.6773887444174;892.9573774695456
D:/Falk/19_zebra_video/frames_ep3;3;333.1643084899954;645.0402393674283;394.3457681286343;500.9324716114324;702.3070819421605;464.0564098287533;907.717582780597;459.68950777554136;581.9084535698311;606.7085435670117;650.9859276717821;634.3655899040209;716.0631876790001;765.6131702787995;757.5875281709505;858.3881856447725;731.3189460516279;893.7931884187885
D:/Falk/19_zebra_video/frames_ep3;4;335.1051538469785;636.3064352610043;398.7126701818463;492.6838788442542;702.3070819421605;464.0564098287533;907.717582780597;459.68950777554136;586.7605669622887;609.1346002632405;650.9859276717821;634.3655899040209;719.8243369505936;765.195264804178;768.0351650364878;855.0449418478006;746.3635431380019;898.8080541142466
D:/Falk/19_zebra_video/frames_ep3;5;338.50163322169897;631.9395332077922;400.65351553882937;489.28739946953374;702.7922932814063;467.4528892034738;907.717582780597;459.68950777554136;589.6718349977634;611.5606569594694;657.7788864212229;635.8212239217582;724.8392026460516;766.031075753421;773.4679362065674;854.6270363731791;762.6618566482404;899.6438650634896
D:/Falk/19_zebra_video/frames_ep3;6;344.3241692926483;634.3655899040211;401.13872687807515;491.22824482651686;704.2479272991436;470.36415723894845;907.717582780597;459.68950777554136;592.5831030332381;614.9571363341898;657.7788864212229;639.7029146357245;712.7199438820281;776.8966180935801;763.4382048156515;858.8060911193941;786.0645632270443;901.3154869619756
D:/Falk/19_zebra_video/frames_ep3;7;344.8093806318941;636.3064352610043;401.13872687807515;491.71345616576264;705.2183499776351;469.3937345604569;907.717582780597;459.68950777554136;594.0387370509754;615.4423476734356;662.1457884744349;640.673337314216;685.1381825570091;790.6874987560896;747.975702254656;860.8956184925015;771.0199661406704;901.3154869619756
D:/Falk/19_zebra_video/frames_ep3;8;348.20586000661456;642.6141826711994;402.1091495565667;492.6838788442542;706.1887726561266;467.93810054271955;907.717582780597;459.68950777554136;596.9500050864501;617.3831930304187;666.0274791884011;645.0402393674281;657.5564212319902;792.777026129197;717.0506971326649;856.2986582716651;767.6767223436983;901.7333924365971
D:/Falk/19_zebra_video/frames_ep3;9;348.20586000661456;644.0698166889367;405.0204175920414;495.5951468797288;707.1591953346182;467.93810054271955;911.5992734945632;456.7782397400667;596.4647937472043;622.2353064228764;658.7493090997144;651.3479867776231;626.6314161099992;781.911483789038;685.7077865360525;847.9405487792351;732.9905679501139;899.6438650634896
D:/Falk/19_zebra_video/frames_ep3;10;350.1467053635977;648.9219300813944;404.5352062527956;497.05078089746615;709.5852520308471;470.36415723894845;912.5696961730548;457.74866241855824;588.7014123192719;620.7796724051391;656.3232524034855;651.3479867776231;599.4675602596017;772.2996578727435;651.8574430917109;838.746628337562;693.7074533356929;893.7931884187885
D:/Falk/19_zebra_video/frames_ep3;11;351.6023393813349;654.259254813098;403.07957223505827;502.38810562916973;712.011308727076;469.3937345604569;914.5105415300379;460.65993045403286;585.7901442837972;614.9571363341898;652.4415616895194;642.1289713319534;579.4080974777696;758.0908717356126;614.6638558503975;832.060140743618;656.931771569001;892.1215665203026
D:/Falk/19_zebra_video/frames_ep3;12;354.99881875605536;659.1113682055557;397.25703616410897;506.2697963431359;713.9521540840591;467.93810054271955;917.4218095655126;463.57119848950754;579.967608212848;608.164177584749;649.045082314799;638.2472806179871;560.1844456451806;746.3895184462106;580.3956069314345;826.6273695735385;612.2158857845004;887.9425117740876
D:/Falk/19_zebra_video/frames_ep3;13;355.9692414345469;663.4782702587677;396.2866134856174;508.6958530393648;714.9225767625506;465.0268325072449;917.9070209047584;465.0268325072449;578.5119741951106;603.797275531537;641.2817008868665;636.7916466002498;551.4084306781292;737.613503479159;549.8885072840651;819.9408819795946;557.4702686090841;887.5246062994661
D:/Falk/19_zebra_video/frames_ep3;14;348.69107134586034;661.5374249017846;394.83097946788007;504.81416232539857;713.4669427448133;463.57119848950754;914.0253301907921;467.4528892034738;575.6007061596359;600.8860074960623;641.7669122261123;637.7620692787414;540.1249828633487;738.0314089537806;528.157422603747;824.1199367258096;508.57532807836856;887.5246062994661
D:/Falk/19_zebra_video/frames_ep3;15;345.77980331038566;655.2296774915895;397.25703616410897;502.38810562916973;711.5260973878302;466.4824665249822;911.1140621553175;465.51204384649066;573.6598608026528;601.8564301745539;639.3408555298834;641.1585486534618;539.7070773887272;749.7327622431826;504.75471602494304;830.388518845132;474.3070791594056;890.8678500964381
D:/Falk/19_zebra_video/frames_ep3;16;339.9572672394363;649.4071414206402;398.7126701818463;498.9916262544493;710.5556747093386;469.3937345604569;910.6288508160717;462.1155644717702;570.7485927671781;606.7085435670117;635.4591648159171;643.5846053496907;542.6324157110778;764.359453854935;498.48613390562053;847.104737829992;452.9938999537091;892.539471994924
D:/Falk/19_zebra_video/frames_ep3;17;336.07557652547007;644.5550280281825;399.19788152109203;496.5655695582204;708.6148293523555;471.33457991743995;910.6288508160717;462.1155644717702;568.807747410195;609.1346002632405;628.6662060664763;642.6141826711992;550.1547142542647;773.1354688219865;508.097959821915;857.134469220908;462.18782039538206;900.4796760127326
D:/Falk/19_zebra_video/frames_ep3;18;335.1051538469785;643.0993940104452;399.6830928603378;494.1395128619915;706.6739839953724;470.36415723894845;909.6584281375801;461.6303531325244;561.0443659822627;606.2233322277659;623.8140926740185;641.6437599927076;560.6023511198023;775.6429016697156;521.470935009803;861.7314294417446;475.14289010864854;903.8229198097046
D:/Falk/19_zebra_video/frames_ep3;19;332.19388581150383;639.7029146357247;400.1683041995836;488.80218813028796;705.7035613168808;469.87894589970267;908.2027941198428;461.6303531325244;559.1035206252795;605.7381208885201;621.3880359777896;641.6437599927076;571.0499879853397;776.060807144337;536.515532096177;862.9851458656091;481.41147222797105;903.405014335083
D:/Falk/19_zebra_video/frames_ep3;20;330.2530404545207;637.2768579394958;399.6830928603378;491.22824482651686;702.7922932814063;470.8493685781942;907.717582780597;461.6303531325244;557.6478866075422;606.2233322277659;626.2401493702474;642.1289713319534;582.3334358001202;775.6429016697156;552.3959401317941;866.328389662581;504.81417880677503;906.3303526574335
D:/Falk/19_zebra_video/frames_ep3;21;330.2530404545207;637.2768579394958;399.19788152109203;495.10993554048304;701.3366592636689;473.27542527442307;908.6880054590886;462.1155644717702;561.0443659822627;609.1346002632405;629.1514174057221;640.1881259749703;593.6168836149006;781.0756728397951;570.3658755405186;870.9253498834175;521.5303977916351;908.8377855051626
D:/Falk/19_zebra_video/frames_ep3;22;334.61994250773273;644.0698166889367;398.2274588426005;496.0803582189746;701.8218706029147;473.76063661366885;906.2619487628597;460.65993045403286;566.8669020532119;609.6198116024863;632.5478967804426;640.1881259749703;604.9003314296812;781.4935783144165;584.156756203028;870.507444408796;536.574994878009;910.9273128782701
