folder;frame_nr;snout_x;snout_y;ear_x;ear_y;withers_x;withers_y;croup_x;croup_y;shoulder_x;shoulder_y;elbow_x;elbow_y;carpal_x;carpal_y;ankle_x;ankle_y;hoof_x;hoof_y
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;60;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;61;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;62;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;63;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;64;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;65;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;66;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;67;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;68;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;69;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;70;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;71;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;72;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;73;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;74;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;75;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;76;;;;;;;;;;;;;;;;;;
/data/01_kinematics/19_zebra_video/01_tracking/frames_ep1;77;;;;;;;;;;;;;;;;;;
